file	line	key	verdict	evidence	text
parity/ledger/combat-melee.yaml	96	deferred	ported	arena is fully modelled. mon_take_hit's branch is arenaInterceptDeath (game/context.ts, mon-util.c:1290) wired at four kill sites; EF_SINGLE_COMBAT at game/effect-melee.ts:283; arena_gen at session/game.ts:2133; kill_arena_monster at :2221; game/arena.test.ts walks the round trip. This was the last row of this file's deferred list. Three source comments still saying "not modelled" (effect-melee.ts:23, mon/take-hit.ts:17, mon/predicate.ts:11) were corrected in the same pass.	Arena handling in mon_take_hit, with the rest of arena mode (not begun; see parity/DEFERRALS.md).
parity/ledger/combat-ranged.yaml	26	deferred			The projectile path and command front-ends: ranged_helper, do_cmd_fire, do_cmd_throw, do_cmd_fire_at_nearest (project_path, missile display events, ammo/quiver selection, piercing via TMD_POWERSHOT, drop_near and the actual application of breakage_chance).
parity/ledger/combat-ranged.yaml	30	deferred			O-combat ranged (birth_percent_damage): o_ranged_damage, o_critical_shot, and the o-ranged-critical constants/levels.
parity/ledger/combat-ranged.yaml	32	deferred			Knowledge / learning: missile_learn_on_ranged_attack, equip_learn_on_ ranged_attack, learn_brand_slay_from_launch/throw.
parity/ledger/combat-ranged.yaml	34	deferred			Temporary brands/slays (improve_attack_modifier obj == NULL path).
parity/ledger/combat-ranged.yaml	35	deferred			Curse contributions to object_to_hit/to_dam/weight.
parity/ledger/effects-interpreter.yaml	67	partial-codes	ported	the one named remainder is closed. The killer description is monster_desc(MDESC_DIED_FROM) at game/effect-attack.ts:694 and game/project-cast.ts:136. effects/handlers.ts:79 already says so in its own comment - "this used to say deferred (8.9) and it outlived the wiring" - and the worldless "a monster" string is reachable only from a harness with no monster registry.	DAMAGE: player path complete (reduction, show_damage message, take_hit, killer for player/none sources). The monster-target and decoy branches are ported in the game layer (game/effect-monster.ts, game/project-monster.ts, and the decoy at effect-general.ts:199). The registry-derived killer description is the one real remainder - see parity/DEFERRALS.md, MDESC_DIED_FROM.
parity/ledger/effects-interpreter.yaml	73	partial-codes	ported	nothing left. TMD.AFRAID -> MON_TMD.FEAR at game/effect-general.ts:762; the decoy half is ported both ways (EF_GLYPH creates at effect-general.ts:157, square_destroy_decoy at effect-attack.ts:682).	TIMED_INC: player path complete including the `other` re-up rule; decoy destruction and the TMD->MON_TMD mapping for monster targets are both ported in the game layer (effect-general.ts:768 maps TMD.AFRAID to MON_TMD.FEAR).
parity/ledger/game-arena.yaml	64	deferred	stale-doc	Both halves false, and the row now says so. monster_turn_multiply IS ported WITH its arena gate (game/monster-turn.ts) and reproduction is wired end to end (multiplyMonster at game/mon-place.ts:695, supplied as state.monsterMultiply at session/game.ts:1855). mon_take_nonplayer_hit's arena floor is at game/mon-death.ts:398.	"NOT deferred, and this row was wrong in both halves. Monster reproduction is ported and wired: multiplyMonster (game/mon-place.ts:695) is supplied as state.monsterMultiply at session/game.ts:1855, num_repro is tracked, and monsterTurnMultiply carries the no-breeding-in-arena guard itself (game/monster-turn.ts, `if (state.arenaLevel) return false`). mon_take_nonplayer_hit's arena floor is at game/
parity/ledger/game-arena.yaml	71	deferred	note-is-fix	The row IS the record of the PORT_TODO 4.1 fix (EF_TELEPORT and EF_ALTER_REALITY arena guards), not a deferral. Census noise from the word "deferred" in a fix note.	"NOT DEFERRED ANY MORE (PORT_TODO 4.1, 2026-08-06), and this line was wrong in both halves. ALTER_REALITY is ported (game/effect-teleport.ts handleALTER_REALITY), so its arena guard did not \"ride an unported effect\" - it was simply missing, and regenerating the level from inside single combat would have discarded the arena and the opponent. It now refuses BEFORE setting ident, as effect-handler-
