disposition	reason	file	line	verdict	evidence	text
note-rewritten	the note was rewritten in 6d993b810 ""Killed by a kobold", not "Killed by kobold" (PORT_TODO 3.2)"; packages/core/src/effects/handlers.ts still carries 1 deferral note(s), none with this text	packages/core/src/effects/handlers.ts	78	real	LEAD READ. Still real, and the note's reason is stale: monsterDesc IS ported (mon/desc.ts) and MDESC_DIED_FROM is defined at mon/desc.ts:61. The port hardcodes "a monster" where upstream's killer_desc calls monster_desc(mon, MDESC_DIED_FROM), so the death cause loses both the article and the visibility gate ("something" for an unseen killer). The work is one call, not a subsystem	/* monster_desc(MDESC_DIED_FROM) is deferred (8.9); the game override
note-rewritten	the note was rewritten in e54b0213e "alter's four missing branches, and its free probe: PORT_TODO 2.3"; packages/core/src/game/cave-cmd.ts still carries 4 deferral note(s), none with this text	packages/core/src/game/cave-cmd.ts	1045	real	LEAD READ, and the lead is a FALSE POSITIVE: web/src/context-menu.ts only names do_cmd_alter in a comment while routing "Attack"/"Alter" to this same core command (context-menu.ts:164-179), so it inherits the gap rather than filling it. The chest and floor-trap-disarm fall-through branches (do_cmd_alter_aux L969-992) are genuinely absent, and "+" is bound to alter at web/src/main.ts:8090	* do_cmd_alter: attack, tunnel, or open, by what is there. DEFERRED: the
note-deleted	the note was deleted in c14fe963e "Two gaps whose excuses pointed at code doing the opposite"; packages/core/src/game/chest.ts now carries no deferral note at all	packages/core/src/game/chest.ts	268	real	LEAD READ. Still real, and the note's reason is stale: equipLearnFlag IS ported (obj/knowledge.ts) and called at game/effect-general.ts:388, :401 and game/loop.ts:224, :225. Trap immunity simply is not learned from a chest trap - one call at an existing seam, not #13's worth of work	/* Learn trap immunity (equip_learn_flag): deferred, #13. */
note-deleted	the note was deleted in c14fe963e "Two gaps whose excuses pointed at code doing the opposite"; packages/core/src/game/chest.ts now carries no deferral note at all	packages/core/src/game/chest.ts	346	real	LEAD READ. Same as chest.ts:268: equipLearnFlag exists and is used elsewhere; this site does not call it	/* Learn trap immunity (equip_learn_flag): deferred, #13. */
note-rewritten	the note was rewritten in d79a331a5 "notice_stuff and the PN_* queue: PORT_TODO 1.1 and 2.5"; packages/core/src/game/context.ts still carries 7 deferral note(s), none with this text	packages/core/src/game/context.ts	297	real	PN_IGNORE is SET (session/game.ts:551) and nothing ever reads it, so becoming aware of a kind never triggers the ignore_drop pass. ignoreDropTargets exists (game/ignore-cmd.ts:45, called from web main.ts:3119 for the menu) - it is the notice pass that is missing	* and is not wired yet - ledgered like the rest of the ignore-drop UI.
note-rewritten	the note was rewritten in d5479454b "square_isempty, and two steps of the wizard item editor"; packages/core/src/game/context.ts still carries 7 deferral note(s), none with this text	packages/core/src/game/context.ts	1088	real	square_isempty (cave-square.c:604-608) rejects a player trap, a web and any object; the port checks only passable/no-monster/not-player, at 48 call sites. Placement loops can therefore accept grids upstream rejects, which also moves RNG draws	* and not the player. (Player-trap / web / object refinements DEFERRED.)
note-rewritten	the note was rewritten in b1678219f "A mimic keeps its object, and loses it when it dies (PORT_TODO 2.14)"; packages/core/src/game/context.ts still carries 7 deferral note(s), none with this text	packages/core/src/game/context.ts	1161	partial	The held-object drop IS handled (the caller runs monster_death first, as the note says); the mimic and targeting bookkeeping remain	* mimic and targeting/redraw bookkeeping are DEFERRED with their subsystems
note-deleted	the note was deleted in 6d993b810 ""Killed by a kobold", not "Killed by kobold" (PORT_TODO 3.2)"; packages/core/src/game/effect-attack.ts now carries no deferral note at all	packages/core/src/game/effect-attack.ts	687	real	LEAD READ. Same as effects/handlers.ts:78 and the same one-call fix: mon.race.name stands in for monster_desc(mon, MDESC_DIED_FROM), which drops the article and prints a raw race name on the tombstone. MDESC_DIED_FROM exists (mon/desc.ts:61)	/* Otherwise damage the player. monster_desc(MDESC_DIED_FROM) is deferred
note-deleted	the note was deleted in b2634e4af "The player's floor memory becomes a pile (PORT_TODO 2.9)"; packages/core/src/game/floor.ts now carries no deferral note at all	packages/core/src/game/floor.ts	18	partial	pushObject is ported and called (effect-general.ts:190, effect-terrain.ts:347); the known-object shadow cave, list_object/delist_object oidx bookkeeping and mimicked-object handling remain	* DEFERRED with their subsystems (ledgered in parity/ledger/game-floor.yaml):
note-rewritten	the note was rewritten in 505c38bae "Produce upkeep->total_weight, so the burden the game reads is real"; packages/core/src/game/gear.ts still carries 7 deferral note(s), none with this text	packages/core/src/game/gear.ts	1055	divergence	Knowledge twin synthesised on demand (obj/known-object.ts)	* knowledge twin are DEFERRED (see the module ledger).
note-rewritten	the note was rewritten in 505c38bae "Produce upkeep->total_weight, so the burden the game reads is real"; packages/core/src/game/gear.ts still carries 7 deferral note(s), none with this text	packages/core/src/game/gear.ts	1283	divergence	Known-twin write, subsumed by the on-demand shadow	* side, which is DEFERRED; we mirror only the reset upstream performs). */
note-rewritten	the note was rewritten in 1da9db132 "path_analyse: the correction that makes infravision honest (PORT_TODO 2.8)"; packages/core/src/game/known.ts still carries 4 deferral note(s), none with this text	packages/core/src/game/known.ts	750	real	path_analyse absent: no pathAnalyse anywhere in the port, so intervening-square terrain is never learned along a path.	/* path_analyse (learn intervening-square terrain): DEFERRED. */
note-deleted	the note was deleted in 9469b953a "The monster messages go on a queue, which is what makes them read like Angband"; packages/core/src/game/mon-message.ts now carries no deferral note at all	packages/core/src/game/mon-message.ts	15	ported	CLOSED by PORT_TODO 3.1 (2026-08-05). The queue is ported whole into this file - add_monster_message / _show_damage, stack_message with its saturating damage add, redundant_monster_message + store_monster, message_flags, what_delay, show_message and show_monster_messages - PN_MON_MESSAGE is the third PN bit, and noticeStuff drains it. 25 tests in game/mon-msg-queue.test.ts; 19 mutations, 19 kills. Remaining gap is narrower and recorded in 3.1: nothing binds state.panelContains, so the "(offscreen)" tag never appears.	* KNOWN GAP (W1-FIX-monbase, P2 deferred): upstream QUEUES these messages
note-rewritten	the note was rewritten in f21a4dcd6 "Eight things a player could watch a monster do and learn nothing from"; packages/core/src/game/monster-turn.ts still carries 8 deferral note(s), none with this text	packages/core/src/game/monster-turn.ts	1402	n-a	A message, no RNG	* "rune of protection is broken!" message is UI (DEFERRED, no RNG).
note-rewritten	the note was rewritten in f21a4dcd6 "Eight things a player could watch a monster do and learn nothing from"; packages/core/src/game/monster-turn.ts still carries 8 deferral note(s), none with this text	packages/core/src/game/monster-turn.ts	1425	partial	Item pickup and group behaviour are ported (monsterCarry, mon-group.ts); the lore half is largely wired via loreLearnFlagIfVisible. Left partial because the note covers three subsystems at once and only names them collectively	* Item pickup, group behaviour and lore are partially DEFERRED (see the module
note-rewritten	the note was rewritten in f21a4dcd6 "Eight things a player could watch a monster do and learn nothing from"; packages/core/src/game/monster-turn.ts still carries 8 deferral note(s), none with this text	packages/core/src/game/monster-turn.ts	1537	n-a	"The decoy is destroyed!" message; no RNG	* is UI (DEFERRED, no RNG). */
note-rewritten	the note was rewritten in 2092aa359 "EF_TOUCH's branches were built; the tests were not (PORT_TODO 2.13)"; packages/core/src/game/project-cast.ts still carries 6 deferral note(s), none with this text	packages/core/src/game/project-cast.ts	685	real	The monster-source decoy and target-monster branches of effect_handler_TOUCH are genuinely absent; a monster casting a touch effect cannot centre it on a decoy or another monster	* are deferred (#19); this is the base player-centred touch.
note-rewritten	the note was rewritten in f4d40a47a "A three-line fix that changed zero bytes, written down instead of committed"; packages/core/src/game/spoil.ts still carries 1 deferral note(s), none with this text	packages/core/src/game/spoil.ts	93	real	timedDesc / summonDesc unwired, so a handful of activation descriptions in the spoiler files read worse than upstream's. Dev tool, small	/* TODO(B2): timedDesc / summonDesc are not wired, so a handful of activation
note-rewritten	the note was rewritten in b397cf2f6 "Every blow in the monster spoiler said it had a 0% chance to land"; packages/core/src/game/spoil.ts still carries 1 deferral note(s), none with this text	packages/core/src/game/spoil.ts	518	real	Same root cause as the lore hit-chance gap: the combat layer does not feed lore, so every "chance to hit" line in the monster spoiler is absent	* TODO(B2): meleeHitPercent / monsterHitPercent are omitted (a core-level
note-rewritten	the note was rewritten in b397cf2f6 "Every blow in the monster spoiler said it had a 0% chance to land"; packages/core/src/game/spoil.ts still carries 1 deferral note(s), none with this text	packages/core/src/game/spoil.ts	519	real	Second half of the same line	* DEFERRED - the combat layer does not feed lore), so every "chance to hit"
note-rewritten	the note was rewritten in 03dc38df8 "A spoiler file with no player, telling you how many you had killed"; packages/core/src/game/spoil.ts still carries 1 deferral note(s), none with this text	packages/core/src/game/spoil.ts	550	real	loreDescription has no upstream-style spoiler flag, so the spoiler text differs from wiz-spoil.c's	* TODO(B2): give core's loreDescription an upstream-style spoiler flag and
note-deleted	the note was deleted in 4c1147bc9 "The targeting preview drew walls the player had never seen"; packages/core/src/game/target-loop.ts now carries no deferral note at all	packages/core/src/game/target-loop.ts	42	divergence	Documented approximation for a UI-only branch: the port reads the live floor pile and live projectability where upstream reads the remembered map. project.ts carries the same note	* the approximation for this exact, UI-only, deferred branch.
